追跡番号,取扱局／支店名（外国交換局名）,取扱日時,ステータスコード,ステータス
494730000000,テスト郵便局,2023/12/01 00:00:00,30,到着
494730000001,テスト郵便局,2023/12/01 00:00:01,30,到着
494730000002,テスト郵便局,2023/12/01 00:00:02,30,到着
494730000003,テスト郵便局,2023/12/01 00:00:03,30,到着
494730000004,テスト郵便局,2023/12/01 00:00:04,30,到着
494730000005,テスト郵便局,2023/12/01 00:00:05,30,到着
494730000006,テスト郵便局,2023/12/01 00:00:06,30,到着
494730000007,テスト郵便局,2023/12/01 00:00:07,30,到着
494730000008,テスト郵便局,2023/12/01 00:00:08,30,到着
494730000009,テスト郵便局,2023/12/01 00:00:09,30,到着
494730000010,テスト郵便局,2023/12/01 00:00:10,30,到着
494730000011,テスト郵便局,2023/12/01 00:00:11,30,到着
494730000012,テスト郵便局,2023/12/01 00:00:12,30,到着
494730000013,テスト郵便局,2023/12/01 00:00:13,30,到着
494730000014,テスト郵便局,2023/12/01 00:00:14,30,到着
494730000015,テスト郵便局,2023/12/01 00:00:15,30,到着
494730000016,テスト郵便局,2023/12/01 00:00:16,30,到着
494730000017,テスト郵便局,2023/12/01 00:00:17,30,到着
494730000018,テスト郵便局,2023/12/01 00:00:18,30,到着
494730000019,テスト郵便局,2023/12/01 00:00:19,30,到着
494730000020,テスト郵便局,2023/12/01 00:00:20,30,到着
494730000021,テスト郵便局,2023/12/01 00:00:21,30,到着
494730000022,テスト郵便局,2023/12/01 00:00:22,30,到着
494730000023,テスト郵便局,2023/12/01 00:00:23,30,到着
494730000024,テスト郵便局,2023/12/01 00:00:24,30,到着
494730000025,テスト郵便局,2023/12/01 00:00:25,30,到着
494730000026,テスト郵便局,2023/12/01 00:00:26,30,到着
494730000027,テスト郵便局,2023/12/01 00:00:27,30,到着
494730000028,テスト郵便局,2023/12/01 00:00:28,30,到着
494730000029,テスト郵便局,2023/12/01 00:00:29,30,到着
494730000030,テスト郵便局,2023/12/01 00:00:30,30,到着
494730000031,テスト郵便局,2023/12/01 00:00:31,30,到着
494730000032,テスト郵便局,2023/12/01 00:00:32,30,到着
494730000033,テスト郵便局,2023/12/01 00:00:33,30,到着
494730000034,テスト郵便局,2023/12/01 00:00:34,30,到着
494730000035,テスト郵便局,2023/12/01 00:00:35,30,到着
494730000036,テスト郵便局,2023/12/01 00:00:36,30,到着
