追跡番号,取扱局／支店名（外国交換局名）,取扱日時,ステータスコード,ステータス
494735708622,堺金岡郵便局,2023/12/23 06:34:21,30,到着
494735708622,堺金岡郵便局,2023/12/23 14:55:22,50,持ち出し中
494735708622,堺金岡郵便局,2023/12/23 16:48:20,52,お届け先にお届け済み
494735735734,筑波学園郵便局,2023/12/22 05:48:11,30,到着
494735735734,筑波学園郵便局,2023/12/22 08:18:10,50,持ち出し中
494735735734,筑波学園郵便局,2023/12/22 12:32:51,52,お届け先にお届け済み
494735769161,茅ヶ崎郵便局,2023/12/22 06:24:07,30,到着
494735769161,茅ヶ崎郵便局,2023/12/22 08:38:16,50,持ち出し中
494735769161,茅ヶ崎郵便局,2023/12/22 15:00:07,52,お届け先にお届け済み
494735770760,船橋郵便局,2023/12/22 01:34:40,30,到着
494735770760,船橋郵便局,2023/12/22 08:38:00,50,持ち出し中
494735770760,船橋郵便局,2023/12/22 12:00:54,52,お届け先にお届け済み
494735776231,目黒郵便局,2023/12/21 23:28:00,30,到着
494735776231,目黒郵便局,2023/12/22 08:42:33,50,持ち出し中
494735776231,目黒郵便局,2023/12/22 13:37:07,52,お届け先にお届け済み
494735844680,成城郵便局,2023/12/22 02:51:48,30,到着
494735844680,成城郵便局,2023/12/22 08:37:13,50,持ち出し中
494735844680,成城郵便局,2023/12/22 12:23:30,52,お届け先にお届け済み
494735897246,成田郵便局,2023/12/22 06:16:39,30,到着
494735897246,成田郵便局（大栄）,2023/12/22 09:27:05,50,持ち出し中
494735897246,成田郵便局（大栄）,2023/12/22 11:58:26,52,お届け先にお届け済み
494735912565,具志川郵便局,2023/12/26 07:24:59,30,到着
494735912565,具志川郵便局,2023/12/26 10:17:44,50,持ち出し中
494735957914,浦安郵便局,2023/12/22 01:56:32,30,到着
494735957914,浦安郵便局,2023/12/22 11:45:48,50,持ち出し中
494735957914,浦安郵便局,2023/12/22 14:22:31,52,お届け先にお届け済み
494735962114,富士吉田郵便局（山中湖）,2023/12/22 08:38:03,30,到着
494735962114,富士吉田郵便局（山中湖）,2023/12/22 09:07:54,50,持ち出し中
494735962114,富士吉田郵便局（山中湖）,2023/12/22 11:47:40,52,お届け先にお届け済み
494735980056,江南郵便局,2023/12/22 06:24:58,30,到着
494735980056,江南郵便局,2023/12/22 10:37:33,50,持ち出し中
494735980056,江南郵便局,2023/12/22 13:06:05,52,お届け先にお届け済み
494735983302,美浜郵便局,2023/12/22 04:39:19,30,到着
494735983302,美浜郵便局,2023/12/22 08:36:08,50,持ち出し中
494735983302,美浜郵便局,2023/12/22 13:21:19,52,お届け先にお届け済み
494735992866,市川郵便局,2023/12/22 01:22:35,30,到着
494735992866,市川郵便局,2023/12/22 17:23:47,50,持ち出し中
494735992866,市川郵便局,2023/12/22 18:11:13,52,お届け先にお届け済み
494736011383,大阪南郵便局,2023/12/23 09:08:43,50,持ち出し中
494736011383,大阪南郵便局,2023/12/23 10:46:40,52,お届け先にお届け済み
494736012212,伊勢原郵便局,2023/12/22 06:41:58,30,到着
494736012212,伊勢原郵便局,2023/12/22 08:34:12,50,持ち出し中
494736012212,伊勢原郵便局,2023/12/22 15:51:31,52,お届け先にお届け済み
494736021533,東久留米郵便局,2023/12/22 06:07:28,30,到着
494736021533,東久留米郵便局,2023/12/22 08:40:17,50,持ち出し中
494736021533,東久留米郵便局,2023/12/22 15:00:09,52,お届け先にお届け済み
494736021802,三郷郵便局,2023/12/22 05:46:42,30,到着
494736021802,三郷郵便局,2023/12/22 10:10:55,50,持ち出し中
494736021802,三郷郵便局,2023/12/22 11:59:59,52,お届け先にお届け済み
494736023821,美浜郵便局,2023/12/22 04:39:07,30,到着
494736023821,美浜郵便局,2023/12/22 08:52:58,50,持ち出し中
494736023821,美浜郵便局,2023/12/22 11:45:01,52,お届け先にお届け済み
494736024952,草加郵便局,2023/12/22 06:10:23,30,到着
494736024952,草加郵便局,2023/12/22 17:09:09,50,持ち出し中
494736024952,草加郵便局,2023/12/22 18:36:40,52,お届け先にお届け済み
494736027461,市川郵便局,2023/12/22 01:33:13,30,到着
494736027461,市川郵便局,2023/12/22 17:41:55,50,持ち出し中
494736027461,市川郵便局,2023/12/22 19:18:11,52,お届け先にお届け済み
494736027903,杉並南郵便局,2023/12/22 04:13:55,30,到着
494736027903,杉並南郵便局,2023/12/22 14:56:01,50,持ち出し中
494736027903,杉並南郵便局,2023/12/22 17:56:19,52,お届け先にお届け済み
494736031344,高槻北郵便局,2023/12/22 19:43:58,30,到着
494736031344,高槻北郵便局,2023/12/23 08:07:10,50,持ち出し中
494736031344,高槻北郵便局,2023/12/23 11:20:23,52,お届け先にお届け済み
494736035835,中津郵便局,2023/12/23 08:06:26,30,到着
494736035835,中津郵便局,2023/12/23 09:26:11,50,持ち出し中
494736035835,中津郵便局,2023/12/23 11:07:38,52,お届け先にお届け済み
494736036211,石川郵便局（蓬田）,2023/12/22 08:05:28,30,到着
494736036211,石川郵便局（蓬田）,2023/12/22 08:15:43,50,持ち出し中
494736036211,石川郵便局（蓬田）,2023/12/22 10:54:53,52,お届け先にお届け済み
494736041822,荻窪郵便局,2023/12/22 06:23:20,30,到着
494736041822,荻窪郵便局,2023/12/22 08:29:51,50,持ち出し中
494736041822,荻窪郵便局,2023/12/22 12:03:15,52,お届け先にお届け済み
494736042791,八王子西郵便局,2023/12/22 02:48:15,30,到着
494736042791,八王子西郵便局,2023/12/22 08:26:53,50,持ち出し中
